id товара из сайта,наименование,ссылка на товар,регулярная цена,промо цена,бренд
517955,"Шоколад Milka молочный с начинкой со вкусом ванили и печеньем Oreo, 300г",https://online.metro-cc.ru/products/milka-oreo-300g,339,305,MILKA
593662,"Шоколад Milka молочный с цельным фундуком, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-s-celnym-fundukom-85g,119,98.9,MILKA
469769,"Печенье Belvita Утреннее фундук-мед, 225г",https://online.metro-cc.ru/products/belvita-utrennee-med-funduk-225g,149,115,BELVITA
120681,"Шоколадное яйцо Kinder Surprise Классический 3шт, 60г",https://online.metro-cc.ru/products/yajca-kinder-surprise-3x20g,294,,KINDER SURPRISE
522168,"Десерт Полет Лимоньерки слоеный с яблоком и корицей, 500г",https://online.metro-cc.ru/products/polet-laquosloenyj-desert-limonyerki-raquo-s-yablokom-koricej-500g,285,,ПОЛЕТ
113244,Ударница Зефир в шоколаде со вкусом пломбира Шармэль 250г,https://online.metro-cc.ru/products/udarnica-v-shokolade-so-vkusom-plombira-sharmel-250g,269,229,ШАРМЭЛЬ
636799,"Печенье Яшкино Клубника сдобное, 137г",https://online.metro-cc.ru/products/yashkino-klubnika-sdobnoe-137-g,61.99,,ЯШКИНО
594324,"Батончик Milky Way шоколадный 4шт, 104г",https://online.metro-cc.ru/products/4h26g-batonchik-milky-way-shokoladnyj-mp,83.9,68.9,MILKY WAY
601246888,"Набор подарочный Мосупак машинка Чебурашка подарок, 1.1кг",https://online.metro-cc.ru/products/11kg-pn-mosupak-podarok-mashinka-cheburashka,979,899,МОСУПАК
232168,"Пирожное Kinder Delice бисквитное с молочной начинкой, 39г",https://online.metro-cc.ru/products/pirozhnoe-biskvitnoe-kinder-reg-delice-pokrytoe-kakao-glazuryu-s-molochnoj-nachinkoj-39g,75.9,,KINDER DELICE
484164,"Шоколад Kinder 1/2 метра с молочной начинкой, 300г",https://online.metro-cc.ru/products/kinder-s-molochnoj-nachinkoj-300g,659,,KINDER
601243028,"Набор новогодний Chupa Chups мини декоративный, 59г",https://online.metro-cc.ru/products/59g-novogodniy-nabor-chupa-chups-mini-dekor,163,,CHUPA CHUPS
594577,"Батончик Bounty шоколадный 27.5г х 6шт, 165г",https://online.metro-cc.ru/products/6h275g-konfety-bounty-shokoladnye-mp,154,119,BOUNTY
517762,"Конфеты Победа вкуса Мишки в лесу шоколадные, 200г",https://online.metro-cc.ru/products/shokoladnye-pobeda-vkusa-mishki-v-lesu-s-nezhnoj-nachinkoj-vafelnoj-kroshkoj-200g,144,139,ПОБЕДА ВКУСА
509743,"Печенье Belvita Утреннее с какао, 253г",https://online.metro-cc.ru/products/belvita-utrennee-s-kakao-253g,182,,BELVITA
159676,"Печенье Santa Bakery Ассорти сдобное, 750г",https://online.metro-cc.ru/products/santa-bakery-sdobnoe-assorti-750g,699,,SANTA BAKERY
513461,"Конфеты Красный Октябрь Москва, 200г",https://online.metro-cc.ru/products/moskva-v-korobke-200-g,329,239,КРАСНЫЙ ОКТЯБРЬ
75745907,"Шоколад A.Korkunov темный-молочный-молочный с фундуком, 131г",https://online.metro-cc.ru/products/131g-shokolad-korkunov-temnyymolochnyymoloch-s-funduk,409,249,A.KORKUNOV
496703,"Печенье Наслада хворост песочный, 800г",https://online.metro-cc.ru/products/naslada-hvorost-800-g,309,219,НАСЛАДА
250509,"Конфеты Merci шоколадные с миндалем, 250г",https://online.metro-cc.ru/products/merci-shokoladnye-s-mindalem-250g,469,379,MERCI
105711,"Батончик Snickers шоколадный с лесным орехом, 81г",https://online.metro-cc.ru/products/snickers-c-lesnym-orehom-81g,73.9,59.9,SNICKERS
550291936,"Шоколад Alpen Gold молочный клубника-йогурт, 85г",https://online.metro-cc.ru/products/shokolad-alpen-gold-molochnyy-klubnika-yogurt-85g,79.9,69.9,ALPEN GOLD
597673,"Шоколад Красный Октябрь Аленка молочный, 90г",https://online.metro-cc.ru/products/molochnyj-alenka-krasnyj-oktyabr-90g,79.9,64.9,АЛЕНКА
